sex,age,famsize,Pstatus,Mjob,Fjob,guardian,traveltime,famrel,freetime,health,absences,G1,G2,G3
F,18.0,GT3,A,at_home,teacher,mother,2.0,4.0,3.0,3.0,4.0,0,11,Good
?,17.0,GT3,T,at_home,other,father,1.0,5.0,3.0,3.0,2.0,9,11,Good
F,15.0,LE3,T,at_home,other,mother,1.0,4.0,3.0,3.0,6.0,12,13,Good
F,15.0,GT3,T,health,services,mother,1.0,3.0,2.0,5.0,0.0,14,14,Very Good
F,16.0,GT3,T,other,other,father,1.0,4.0,,5.0,0.0,11,13,Good
M,16.0,LE3,T,services,other,mother,1.0,5.0,4.0,5.0,6.0,12,12,Good
M,16.0,LE3,T,other,other,mother,1.0,4.0,4.0,3.0,0.0,13,12,Good
F,17.0,GT3,A,other,teacher,mother,2.0,4.0,1.0,1.0,2.0,10,13,Good
M,15.0,LE3,A,services,other,mother,1.0,,2.0,1.0,0.0,15,16,Excellent
M,15.0,GT3,T,other,other,mother,1.0,5.0,5.0,5.0,0.0,12,12,Good
F,15.0,GT3,T,teacher,health,mother,1.0,3.0,3.0,2.0,2.0,14,14,Very Good
F,15.0,GT3,T,services,other,father,3.0,5.0,2.0,4.0,0.0,10,12,Good
M,15.0,LE3,T,health,services,father,1.0,4.0,3.0,5.0,0.0,12,13,Good
M,15.0,GT3,T,teacher,other,mother,2.0,5.0,4.0,3.0,0.0,12,12,Good
M,15.0,GT3,A,other,other,other,1.0,4.0,5.0,3.0,0.0,14,14,Very Good
F,16.0,GT3,T,health,other,mother,,4.0,4.0,2.0,6.0,17,17,Excellent
F,16.0,GT3,T,services,services,mother,1.0,3.0,2.0,2.0,10.0,13,13,Very Good
F,16.0,GT3,T,other,other,mother,3.0,5.0,3.0,4.0,2.0,13,14,Very Good
M,17.0,GT3,T,services,services,mother,1.0,5.0,5.0,5.0,2.0,8,8,Fair
M,16.0,LE3,T,health,other,father,1.0,3.0,1.0,5.0,6.0,12,12,Good
M,15.0,GT3,T,teacher,other,mother,1.0,4.0,4.0,1.0,0.0,12,13,Very Good
M,15.0,GT3,T,health,?,father,1.0,5.0,4.0,5.0,,11,12,Good
M,16.0,LE3,T,teacher,other,mother,1.0,4.0,,5.0,0.0,12,13,Very Good
M,16.0,LE3,T,other,other,mother,2.0,5.0,4.0,5.0,2.0,10,10,Good
F,15.0,GT3,T,services,health,mother,1.0,4.0,3.0,5.0,2.0,10,11,Good
F,16.0,GT3,T,services,services,mother,1.0,1.0,2.0,5.0,6.0,10,11,Good
M,15.0,GT3,T,other,other,mother,1.0,4.0,2.0,5.0,8.0,11,12,Good
M,15.0,GT3,T,health,services,mother,1.0,2.0,2.0,1.0,,11,11,Good
M,16.0,LE3,A,services,other,mother,1.0,5.0,3.0,5.0,2.0,12,12,Good
M,16.0,GT3,T,teacher,teacher,mother,1.0,4.0,4.0,5.0,4.0,12,11,Good
M,15.0,GT3,T,health,services,mother,1.0,5.0,4.0,5.0,0.0,10,11,Good
M,15.0,GT3,T,services,services,mother,2.0,4.0,3.0,5.0,2.0,15,15,Very Good
M,15.0,GT3,T,teacher,at_home,?,1.0,4.0,5.0,5.0,0.0,13,14,Very Good
M,15.0,LE3,T,other,other,mother,1.0,5.0,3.0,2.0,0.0,13,12,Good
?,16.0,GT3,T,other,other,mother,1.0,5.0,4.0,5.0,4.0,12,12,Good
F,15.0,GT3,?,other,other,father,2.0,3.0,5.0,5.0,4.0,11,11,Good
M,15.0,LE3,T,teacher,services,mother,,5.0,4.0,4.0,0.0,14,14,Very Good
M,16.0,GT3,A,other,teacher,mother,2.0,2.0,4.0,5.0,4.0,13,13,Good
F,15.0,GT3,T,services,health,mother,1.0,4.0,3.0,5.0,2.0,11,12,Good
F,15.0,GT3,T,at_home,other,mother,1.0,4.0,3.0,2.0,8.0,14,13,Good
F,16.0,LE3,T,other,other,mother,2.0,3.0,3.0,3.0,,11,11,Good
M,15.0,LE3,T,teacher,other,other,1.0,5.0,4.0,5.0,8.0,10,11,Good
M,15.0,GT3,T,services,teacher,father,1.0,4.0,3.0,5.0,0.0,14,15,Very Good
M,15.0,GT3,T,services,services,father,1.0,5.0,4.0,1.0,0.0,9,10,Good
F,16.0,LE3,T,other,at_home,father,2.0,4.0,3.0,5.0,14.0,10,11,Good
F,15.0,LE3,A,other,other,mother,1.0,5.0,2.0,5.0,4.0,10,11,Good
F,16.0,LE3,A,other,services,mother,1.0,2.0,3.0,3.0,6.0,13,12,Good
M,16.0,GT3,T,health,services,mother,1.0,4.0,2.0,2.0,2.0,17,17,Excellent
M,15.0,GT3,T,teacher,other,mother,1.0,4.0,3.0,5.0,4.0,11,12,Good
F,15.0,GT3,T,services,teacher,father,1.0,4.0,4.0,3.0,2.0,13,12,Good
F,16.0,LE3,T,services,services,mother,3.0,,3.0,4.0,0.0,14,13,Good
F,15.0,LE3,T,health,other,mother,1.0,4.0,3.0,5.0,0.0,16,14,Very Good
M,15.0,LE3,A,health,health,father,2.0,5.0,5.0,5.0,,10,9,Fair
F,15.0,GT3,T,services,services,mother,,3.0,3.0,,0.0,13,12,Good
F,15.0,LE3,A,other,other,mother,1.0,5.0,3.0,1.0,0.0,13,12,Good
F,16.0,GT3,A,other,other,mother,1.0,5.0,3.0,2.0,2.0,12,13,Good
F,15.0,GT3,A,services,services,mother,1.0,4.0,3.0,1.0,0.0,15,14,Very Good
M,15.0,GT3,T,teacher,health,mother,1.0,3.0,2.0,5.0,8.0,15,15,Very Good
M,15.0,LE3,T,other,at_home,father,1.0,4.0,,5.0,0.0,14,13,Very Good
F,16.0,GT3,T,services,other,mother,1.0,4.0,2.0,5.0,2.0,16,15,Very Good
F,16.0,GT3,T,health,teacher,mother,1.0,2.0,4.0,4.0,0.0,17,16,Very Good
F,16.0,GT3,T,services,services,father,4.0,5.0,5.0,5.0,0.0,10,10,Very Good
F,16.0,LE3,T,other,services,father,1.0,4.0,4.0,,0.0,13,13,Good
F,16.0,GT3,T,teacher,health,mother,1.0,3.0,4.0,4.0,0.0,14,13,Good
F,15.0,LE3,T,services,services,father,1.0,4.0,4.0,2.0,0.0,13,12,Good
F,16.0,LE3,T,teacher,services,mother,3.0,5.0,4.0,1.0,2.0,16,15,Very Good
M,15.0,GT3,A,other,services,mother,1.0,1.0,3.0,3.0,0.0,11,12,Good
F,16.0,GT3,T,services,other,mother,1.0,4.0,3.0,5.0,0.0,10,9,Good
?,15.0,LE3,T,health,services,mother,2.0,4.0,1.0,4.0,0.0,11,10,Good
F,15.0,LE3,T,other,other,father,2.0,4.0,4.0,3.0,6.0,15,15,Very Good
M,16.0,GT3,T,other,other,father,2.0,4.0,3.0,5.0,2.0,13,11,Good
M,15.0,GT3,T,?,other,mother,1.0,3.0,3.0,3.0,0.0,11,9,Good
F,15.0,GT3,T,other,other,mother,1.0,3.0,3.0,5.0,2.0,13,11,Good
M,16.0,GT3,T,other,other,mother,1.0,5.0,3.0,5.0,0.0,13,13,Very Good
F,16.0,GT3,T,other,services,mother,1.0,4.0,3.0,5.0,4.0,11,11,Good
M,15.0,GT3,T,teacher,other,mother,1.0,4.0,,5.0,0.0,11,11,Good
M,15.0,GT3,T,teacher,other,mother,2.0,3.0,4.0,1.0,0.0,12,11,Good
F,16.0,GT3,T,other,other,mother,1.0,5.0,2.0,3.0,1.0,13,13,Good
M,17.0,GT3,T,other,other,mother,2.0,4.0,5.0,3.0,0.0,9,9,Good
F,16.0,GT3,T,at_home,other,mother,1.0,2.0,4.0,3.0,14.0,12,11,Good
M,15.0,GT3,T,other,services,father,1.0,3.0,2.0,,0.0,11,11,Good
M,15.0,GT3,T,other,other,mother,1.0,5.0,3.0,5.0,2.0,10,9,Fair
F,15.0,LE3,T,services,other,mother,1.0,4.0,4.0,5.0,4.0,12,11,Good
M,15.0,LE3,T,services,services,mother,2.0,5.0,3.0,4.0,2.0,13,12,Good
F,15.0,GT3,T,other,other,father,1.0,4.0,3.0,4.0,2.0,13,12,Good
F,15.0,GT3,T,services,services,father,2.0,,4.0,5.0,4.0,12,11,Good
F,16.0,LE3,T,at_home,other,mother,1.0,4.0,3.0,2.0,6.0,13,11,Good
F,15.0,GT3,T,?,other,mother,1.0,5.0,3.0,1.0,4.0,15,15,Very Good
M,16.0,GT3,T,services,other,father,2.0,4.0,4.0,3.0,6.0,12,10,Good
M,16.0,LE3,A,teacher,health,mother,1.0,4.0,1.0,5.0,6.0,9,9,Good
F,16.0,GT3,T,other,other,mother,1.0,4.0,3.0,4.0,2.0,9,11,Good
F,15.0,GT3,T,services,other,mother,1.0,4.0,5.0,1.0,6.0,14,13,Good
F,16.0,LE3,T,other,other,father,1.0,3.0,3.0,2.0,0.0,12,13,Good
F,16.0,GT3,?,teacher,services,mother,2.0,5.0,3.0,1.0,2.0,13,14,Very Good
M,15.0,LE3,T,services,health,mother,1.0,4.0,3.0,4.0,2.0,11,12,Good
F,15.0,GT3,?,at_home,?,mother,2.0,3.0,1.0,1.0,4.0,13,13,Good
M,16.0,GT3,T,services,other,mother,2.0,3.0,3.0,4.0,6.0,9,11,Good
F,16.0,GT3,T,other,other,mother,1.0,4.0,3.0,5.0,0.0,13,12,Good
F,16.0,?,T,other,other,mother,1.0,,3.0,1.0,,12,13,Good
F,,GT3,T,other,at_home,mother,,5.0,3.0,3.0,2.0,12,13,Good
M,16.0,GT3,T,services,services,mother,1.0,4.0,5.0,4.0,12.0,9,9,Fair
M,16.0,GT3,T,services,teacher,father,1.0,4.0,4.0,4.0,0.0,16,16,Very Good
M,15.0,GT3,?,services,other,mother,1.0,5.0,3.0,5.0,2.0,12,13,Good
?,15.0,GT3,?,services,other,mother,2.0,4.0,3.0,2.0,16.0,11,10,Good
M,15.0,GT3,A,services,other,mother,1.0,5.0,4.0,1.0,0.0,16,16,Very Good
F,15.0,GT3,?,other,health,father,1.0,4.0,3.0,4.0,10.0,10,10,Good
F,15.0,GT3,T,other,other,mother,1.0,5.0,1.0,3.0,4.0,10,10,Good
M,16.0,GT3,T,services,other,father,1.0,5.0,3.0,5.0,4.0,13,14,Very Good
M,15.0,GT3,T,other,other,father,4.0,1.0,3.0,1.0,8.0,12,10,Good
F,16.0,LE3,T,health,health,mother,1.0,5.0,4.0,4.0,2.0,15,15,Very Good
M,15.0,LE3,A,teacher,teacher,mother,1.0,5.0,5.0,4.0,4.0,13,14,Very Good
F,16.0,GT3,T,services,other,father,1.0,,1.0,2.0,4.0,11,11,Good
?,,GT3,T,?,other,mother,1.0,3.0,1.0,5.0,12.0,8,10,Good
M,15.0,LE3,T,teacher,other,mother,1.0,3.0,5.0,3.0,10.0,18,17,Excellent
M,15.0,GT3,T,health,services,mother,1.0,5.0,4.0,5.0,4.0,10,9,Good
M,16.0,GT3,T,?,teacher,father,1.0,5.0,4.0,5.0,6.0,16,14,Very Good
M,15.0,GT3,T,other,teacher,father,2.0,4.0,4.0,2.0,4.0,16,15,Very Good
M,16.0,GT3,T,other,services,father,2.0,5.0,4.0,5.0,6.0,14,14,Very Good
M,17.0,GT3,T,other,other,father,3.0,5.0,2.0,5.0,14.0,12,11,Good
M,15.0,?,T,other,other,father,1.0,3.0,4.0,4.0,2.0,14,13,Very Good
F,15.0,GT3,T,at_home,services,mother,1.0,3.0,2.0,1.0,0.0,14,14,Very Good
M,15.0,GT3,T,services,services,father,1.0,5.0,5.0,5.0,6.0,14,13,Good
F,16.0,LE3,T,other,health,father,2.0,4.0,2.0,5.0,2.0,14,12,Good
M,16.0,GT3,T,health,other,mother,1.0,3.0,4.0,5.0,4.0,12,13,Good
F,16.0,GT3,T,other,other,mother,1.0,5.0,4.0,5.0,0.0,12,11,Good
M,15.0,GT3,T,services,services,father,1.0,5.0,5.0,5.0,2.0,9,9,Fair
F,15.0,LE3,A,other,other,mother,1.0,,3.0,1.0,0.0,10,11,Good
F,,GT3,T,at_home,other,other,1.0,3.0,4.0,5.0,0.0,9,10,Good
M,16.0,GT3,T,teacher,teacher,mother,1.0,3.0,5.0,4.0,,14,14,Very Good
M,16.0,GT3,T,other,other,mother,2.0,3.0,2.0,1.0,4.0,13,12,Good
F,15.0,GT3,T,services,?,father,2.0,4.0,2.0,5.0,0.0,10,11,Good
F,18.0,GT3,T,services,other,mother,1.0,5.0,4.0,5.0,10.0,10,9,Fair
F,17.0,LE3,A,other,other,mother,3.0,3.0,2.0,5.0,8.0,11,10,Good
F,15.0,GT3,T,at_home,other,mother,3.0,4.0,3.0,4.0,6.0,11,12,Good
F,17.0,?,T,other,other,father,1.0,,4.0,5.0,2.0,13,12,Good
F,16.0,GT3,A,services,other,father,1.0,3.0,2.0,5.0,12.0,15,13,Very Good
M,16.0,GT3,T,at_home,other,mother,4.0,3.0,2.0,2.0,4.0,9,9,Good
F,16.0,GT3,A,other,other,mother,1.0,5.0,3.0,5.0,12.0,13,11,Good
M,15.0,GT3,T,at_home,teacher,mother,4.0,5.0,3.0,5.0,2.0,12,11,Good
F,15.0,GT3,T,services,at_home,mother,1.0,4.0,3.0,5.0,4.0,13,14,Very Good
M,17.0,GT3,T,at_home,other,mother,3.0,5.0,4.0,5.0,2.0,10,9,Good
F,16.0,GT3,T,at_home,other,mother,4.0,5.0,1.0,3.0,0.0,14,13,Good
M,18.0,LE3,T,services,services,mother,2.0,3.0,3.0,4.0,2.0,11,11,Good
F,18.0,GT3,A,other,services,other,1.0,4.0,,5.0,10.0,12,11,Good
F,16.0,GT3,T,other,services,mother,2.0,3.0,3.0,1.0,8.0,12,11,Good
F,16.0,GT3,A,other,other,other,2.0,4.0,3.0,5.0,4.0,9,9,Good
M,16.0,LE3,T,services,other,mother,1.0,4.0,4.0,5.0,0.0,10,10,Good
F,15.0,GT3,T,teacher,teacher,?,2.0,4.0,3.0,5.0,6.0,13,14,Very Good
F,15.0,GT3,T,other,other,mother,3.0,5.0,5.0,1.0,2.0,8,9,Fair
M,15.0,GT3,T,teacher,services,father,2.0,2.0,2.0,3.0,6.0,9,11,Good
F,15.0,GT3,A,services,services,mother,1.0,1.0,,1.0,24.0,9,8,Fair
M,16.0,GT3,T,services,services,mother,1.0,5.0,3.0,5.0,0.0,15,13,Good
M,16.0,LE3,T,services,services,father,2.0,2.0,3.0,2.0,4.0,12,11,Good
F,15.0,GT3,T,teacher,services,mother,1.0,4.0,2.0,5.0,2.0,13,13,Good
F,16.0,LE3,T,at_home,at_home,mother,1.0,3.0,4.0,1.0,4.0,10,11,Good
M,17.0,GT3,T,other,other,mother,1.0,5.0,4.0,5.0,22.0,9,7,Fair
?,15.0,GT3,T,other,services,father,1.0,4.0,4.0,5.0,0.0,12,12,Good
F,15.0,LE3,A,?,other,mother,2.0,4.0,4.0,5.0,0.0,11,10,Good
F,15.0,GT3,T,health,services,father,1.0,3.0,3.0,3.0,2.0,11,11,Good
F,15.0,GT3,T,at_home,other,mother,1.0,4.0,3.0,,6.0,13,12,Good
F,15.0,?,?,at_home,services,father,1.0,2.0,3.0,1.0,6.0,11,11,Good
M,16.0,GT3,T,teacher,teacher,mother,1.0,3.0,3.0,5.0,16.0,9,9,Fair
M,15.0,LE3,A,services,other,mother,4.0,,5.0,5.0,0.0,12,11,Good
M,18.0,LE3,T,other,other,mother,1.0,2.0,3.0,4.0,0.0,11,9,Poor
M,16.0,LE3,T,at_home,other,mother,1.0,4.0,4.0,5.0,6.0,9,10,Good
F,15.0,GT3,T,services,services,other,2.0,4.0,2.0,3.0,2.0,13,13,Good
M,,GT3,T,services,at_home,mother,1.0,4.0,5.0,4.0,6.0,11,9,Good
F,17.0,GT3,T,other,teacher,mother,1.0,4.0,2.0,4.0,0.0,13,13,Good
M,15.0,GT3,T,at_home,services,mother,1.0,4.0,4.0,1.0,0.0,7,8,Fair
M,17.0,LE3,T,other,other,mother,1.0,2.0,2.0,5.0,14.0,9,8,Good
F,18.0,GT3,T,at_home,other,mother,3.0,5.0,2.0,4.0,6.0,11,10,Good
M,16.0,GT3,T,at_home,other,mother,3.0,4.0,2.0,3.0,,12,10,Good
M,16.0,GT3,T,other,services,father,1.0,4.0,5.0,5.0,0.0,10,10,Poor
M,16.0,LE3,T,health,services,mother,2.0,4.0,4.0,5.0,0.0,9,8,Good
M,17.0,LE3,T,at_home,other,mother,2.0,3.0,3.0,5.0,8.0,8,8,Fair
M,17.0,GT3,T,other,other,mother,2.0,4.0,4.0,3.0,4.0,7,6,Fair
M,15.0,LE3,T,other,other,mother,2.0,4.0,4.0,5.0,2.0,8,9,Good
M,16.0,GT3,T,at_home,services,father,1.0,5.0,3.0,2.0,2.0,9,8,Fair
M,17.0,LE3,T,other,services,mother,4.0,5.0,3.0,5.0,0.0,8,8,Fair
M,17.0,GT3,T,services,services,mother,2.0,4.0,,2.0,10.0,8,7,Fair
M,16.0,GT3,T,other,other,father,1.0,4.0,3.0,4.0,0.0,9,10,Good
F,16.0,GT3,T,health,services,father,1.0,4.0,2.0,3.0,0.0,17,17,Excellent
F,16.0,GT3,T,other,other,mother,1.0,5.0,1.0,4.0,0.0,12,12,Good
F,16.0,GT3,T,health,health,mother,1.0,4.0,4.0,,0.0,16,16,Excellent
M,16.0,GT3,T,other,other,father,3.0,3.0,4.0,2.0,4.0,9,9,Good
M,16.0,GT3,T,other,other,mother,2.0,4.0,3.0,3.0,0.0,16,17,Excellent
M,17.0,LE3,T,teacher,?,mother,1.0,4.0,4.0,5.0,0.0,11,9,Good
F,16.0,GT3,T,at_home,services,mother,1.0,4.0,3.0,3.0,,14,13,Good
F,16.0,LE3,T,other,other,mother,2.0,4.0,4.0,4.0,0.0,14,14,Very Good
M,17.0,?,T,teacher,other,mother,2.0,4.0,4.0,4.0,0.0,10,11,Good
F,16.0,GT3,T,services,other,mother,2.0,3.0,4.0,5.0,0.0,13,12,Very Good
?,17.0,GT3,T,other,other,father,1.0,4.0,3.0,4.0,4.0,11,9,Good
M,16.0,GT3,T,teacher,services,mother,1.0,4.0,3.0,3.0,8.0,10,9,Good
M,17.0,GT3,T,other,other,mother,1.0,5.0,2.0,2.0,4.0,11,11,Good
M,16.0,GT3,T,teacher,other,mother,1.0,3.0,4.0,3.0,4.0,11,10,Good
M,16.0,GT3,T,services,other,mother,1.0,4.0,2.0,3.0,0.0,11,12,Good
F,17.0,GT3,T,services,services,father,1.0,5.0,4.0,5.0,0.0,17,18,Excellent
F,17.0,LE3,T,other,other,mother,1.0,5.0,3.0,1.0,32.0,14,13,Very Good
F,16.0,GT3,T,other,other,mother,1.0,1.0,2.0,1.0,8.0,14,15,Very Good
M,17.0,GT3,T,services,services,mother,1.0,4.0,3.0,4.0,6.0,11,13,Very Good
M,16.0,GT3,T,services,services,mother,1.0,3.0,3.0,3.0,,10,9,Good
M,16.0,LE3,?,other,other,mother,1.0,4.0,2.0,5.0,0.0,13,14,Very Good
F,17.0,GT3,A,health,other,mother,1.0,3.0,3.0,3.0,10.0,12,13,Very Good
M,17.0,GT3,T,at_home,other,mother,1.0,3.0,1.0,3.0,6.0,9,9,Good
F,16.0,GT3,T,services,services,mother,1.0,4.0,3.0,2.0,6.0,12,12,Good
F,17.0,GT3,T,at_home,services,mother,1.0,5.0,3.0,3.0,0.0,12,11,Good
M,17.0,GT3,T,at_home,services,other,2.0,4.0,4.0,5.0,16.0,10,11,Good
M,16.0,?,T,services,services,mother,1.0,4.0,3.0,5.0,0.0,11,10,Good
M,16.0,GT3,T,other,other,father,2.0,5.0,3.0,3.0,0.0,13,12,Good
F,17.0,LE3,T,services,services,father,1.0,4.0,3.0,5.0,8.0,14,15,Very Good
M,17.0,GT3,T,services,teacher,mother,1.0,5.0,2.0,5.0,4.0,13,13,Very Good
M,16.0,LE3,T,teacher,other,father,3.0,3.0,3.0,3.0,16.0,10,11,Good
F,17.0,GT3,T,services,teacher,mother,2.0,4.0,2.0,2.0,30.0,14,15,Very Good
F,16.0,LE3,T,teacher,teacher,mother,1.0,4.0,5.0,3.0,0.0,11,10,Good
